Field,Keyword Variation
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other standalone standalone
Other Financial Liabilities Non Current,other financial liabilities non current march
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial gross ind as
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other gross per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other amount refer note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other amount
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other ind as gross
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current outstanding
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current per note balance
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial amount consolidated
Other Financial Liabilities Non Current,financial liabilities non current other standalone
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other per note outstanding
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial standalone
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial as at outstanding
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other net total
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other net refer note
Other Financial Liabilities Non Current,financial liabilities non current other as at
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial for the year refer note
Other Financial Liabilities Non Current,other financial liabilities non current
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial outstanding balance
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other ind as for the year
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other as at
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current amount gross
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial for the year as at
Other Financial Liabilities Non Current,non current other financial total
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current per note refer note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other gross as at
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current march consolidated
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial amount
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current refer note march
Other Financial Liabilities Non Current,financial liabilities non current other schedule
Other Financial Liabilities Non Current,other financial liabilities non current balance
Other Financial Liabilities Non Current,non current other financial for the year
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current as at
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other total
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other outstanding
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current standalone schedule
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial per note refer note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial as at consolidated
Other Financial Liabilities Non Current,other financial liabilities non current per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial for the year total
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other gross net
Other Financial Liabilities Non Current,non current other financial standalone
Other Financial Liabilities Non Current,financial liabilities non current other balance
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current consolidated
Other Financial Liabilities Non Current,financial liabilities non current other march
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other amount as at
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other for the year
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other total net
Other Financial Liabilities Non Current,non current other financial per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other per note per note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current schedule consolidated
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial net schedule
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other net schedule
Other Financial Liabilities Non Current,financial liabilities non current other amount
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial standalone standalone
Other Financial Liabilities Non Current,non current other financial outstanding
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current financial liabilities non current other refer note
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current non current other financial for the year
Other Financial Liabilities Non Current,Other Financial Liabilities Non Current other financial liabilities non current refer note
PPE Fixed Assets,property plant and equipment
PPE Fixed Assets,fixed assets gross
PPE Fixed Assets,PPE Fixed Assets property plant & equipment refer note
PPE Fixed Assets,PPE Fixed Assets fixed assets amount
PPE Fixed Assets,PPE Fixed Assets property plant & equipment net
PPE Fixed Assets,PPE Fixed Assets property plant equipment net
PPE Fixed Assets,PPE Fixed Assets property plant equipment total
PPE Fixed Assets,computer equipment
PPE Fixed Assets,furniture and fixtures
PPE Fixed Assets,fixed assets refer note
PPE Fixed Assets,PPE Fixed Assets property plant equipment for the year
PPE Fixed Assets,PPE Fixed Assets fixed assets
PPE Fixed Assets,fixed assets balance
PPE Fixed Assets,fixed assets total
PPE Fixed Assets,PPE Fixed Assets right of use assets
PPE Fixed Assets,plant and machinery gross
PPE Fixed Assets,PPE Fixed Assets property plant equipment ind as
PPE Fixed Assets,PPE Fixed Assets tangible assets total
PPE Fixed Assets,property plant and equipment refer note
PPE Fixed Assets,PPE Fixed Assets tangible assets schedule
PPE Fixed Assets,PPE Fixed Assets property plant and equipment as at
PPE Fixed Assets,property plant equipment
PPE Fixed Assets,PPE Fixed Assets property plant & equipment march
PPE Fixed Assets,tangible assets outstanding
PPE Fixed Assets,PPE Fixed Assets property plant & equipment schedule
PPE Fixed Assets,PPE Fixed Assets property plant and equipment consolidated
PPE Fixed Assets,property plant & equipment schedule
PPE Fixed Assets,property plant & equipment amount
PPE Fixed Assets,property plant & equipment march
PPE Fixed Assets,property plant and equipment for the year
PPE Fixed Assets,PPE Fixed Assets property plant & equipment total
PPE Fixed Assets,property plant equipment net
PPE Fixed Assets,PPE Fixed Assets property plant and equipment net
PPE Fixed Assets,property plant and equipment standalone
PPE Fixed Assets,PPE Fixed Assets property plant & equipment gross
PPE Fixed Assets,tangible assets per note
PPE Fixed Assets,fixed assets net
PPE Fixed Assets,tangible assets consolidated
PPE Fixed Assets,property plant equipment gross
PPE Fixed Assets,plant and machinery for the year
PPE Fixed Assets,fixed assets amount
PPE Fixed Assets,PPE Fixed Assets property plant equipment amount
PPE Fixed Assets,tangible assets total
PPE Fixed Assets,tangible assets march
PPE Fixed Assets,property plant & equipment
PPE Fixed Assets,property plant & equipment balance
PPE Fixed Assets,property plant and equipment consolidated
PPE Fixed Assets,PPE Fixed Assets fixed assets per note
PPE Fixed Assets,tangible assets for the year
PPE Fixed Assets,PPE Fixed Assets property plant equipment march
PPE Fixed Assets,PPE Fixed Assets property plant equipment balance
PPE Fixed Assets,PPE Fixed Assets fixed assets ind as
PPE Fixed Assets,PPE Fixed Assets rou assets
PPE Fixed Assets,property plant & equipment gross
PPE Fixed Assets,property plant & equipment refer note
PPE Fixed Assets,PPE Fixed Assets property plant & equipment standalone
PPE Fixed Assets,PPE Fixed Assets tangible assets standalone
PPE Fixed Assets,PPE Fixed Assets fixed assets outstanding
PPE Fixed Assets,property plant & equipment total
PPE Fixed Assets,PPE Fixed Assets fixed assets for the year
PPE Fixed Assets,plant and machinery as at
PPE Fixed Assets,property plant equipment for the year
PPE Fixed Assets,PPE Fixed Assets property plant and equipment schedule
PPE Fixed Assets,PPE Fixed Assets fixed assets net
PPE Fixed Assets,PPE Fixed Assets property plant equipment gross
PPE Fixed Assets,PPE Fixed Assets property plant equipment as at
PPE Fixed Assets,PPE Fixed Assets fixed assets march
PPE Fixed Assets,PPE Fixed Assets property plant and equipment for the year
PPE Fixed Assets,PPE Fixed Assets property plant and equipment amount
PPE Fixed Assets,PPE Fixed Assets office equipment
PPE Fixed Assets,PPE Fixed Assets tangible assets balance
PPE Fixed Assets,PPE Fixed Assets furniture and fixtures
PPE Fixed Assets,property plant and equipment ind as
PPE Fixed Assets,brands trademarks
PPE Fixed Assets,PPE Fixed Assets property plant equipment per note
PPE Fixed Assets,PPE Fixed Assets property plant and equipment standalone
PPE Fixed Assets,PPE Fixed Assets property plant & equipment ind as
PPE Fixed Assets,fixed assets consolidated
PPE Fixed Assets,PPE Fixed Assets software
PPE Fixed Assets,fixed assets schedule
PPE Fixed Assets,PPE Fixed Assets plant and machinery
PPE Fixed Assets,property plant & equipment per note
PPE Fixed Assets,fixed assets for the year
PPE Fixed Assets,property plant & equipment for the year
PPE Fixed Assets,PPE Fixed Assets property plant and equipment outstanding
PPE Fixed Assets,fixed assets per note
PPE Fixed Assets,tangible assets refer note
PPE Fixed Assets,PPE Fixed Assets property plant and equipment
PPE Fixed Assets,tangible assets balance
PPE Fixed Assets,tangible assets net
PPE Fixed Assets,property plant equipment per note
PPE Fixed Assets,property plant equipment outstanding
PPE Fixed Assets,tangible assets ind as
PPE Fixed Assets,plant and machinery
PPE Fixed Assets,PPE Fixed Assets tangible assets march
PPE Fixed Assets,PPE Fixed Assets property plant and equipment total
PPE Fixed Assets,tangible assets standalone
PPE Fixed Assets,plant and machinery total
PPE Fixed Assets,property plant & equipment standalone
PPE Fixed Assets,PPE Fixed Assets property plant and equipment march
PPE Fixed Assets,property plant and equipment gross
PPE Fixed Assets,property plant & equipment consolidated
PPE Fixed Assets,PPE Fixed Assets property plant and equipment refer note
PPE Fixed Assets,fixed assets
PPE Fixed Assets,intangible assets
PPE Fixed Assets,PPE Fixed Assets right-of-use assets
PPE Fixed Assets,PPE Fixed Assets fixed assets as at
PPE Fixed Assets,PPE Fixed Assets fixed assets balance
PPE Fixed Assets,property plant and equipment march
PPE Fixed Assets,PPE Fixed Assets property plant & equipment balance
PPE Fixed Assets,PPE Fixed Assets plant and machinery march
PPE Fixed Assets,property plant equipment ind as
PPE Fixed Assets,PPE Fixed Assets tangible assets for the year
PPE Fixed Assets,PPE Fixed Assets plant and machinery for the year
PPE Fixed Assets,PPE Fixed Assets plant and machinery gross
PPE Fixed Assets,PPE Fixed Assets property plant and equipment per note
PPE Fixed Assets,property plant and equipment schedule
PPE Fixed Assets,PPE Fixed Assets vehicles
PPE Fixed Assets,PPE Fixed Assets tangible assets refer note
PPE Fixed Assets,fixed assets march
PPE Fixed Assets,property plant equipment amount
PPE Fixed Assets,land and building
PPE Fixed Assets,property plant and equipment net
PPE Fixed Assets,PPE Fixed Assets tangible assets as at
PPE Fixed Assets,PPE Fixed Assets property plant equipment standalone
PPE Fixed Assets,PPE Fixed Assets fixed assets consolidated
PPE Fixed Assets,tangible assets gross
PPE Fixed Assets,PPE Fixed Assets plant and machinery total
PPE Fixed Assets,PPE Fixed Assets property plant and equipment gross
PPE Fixed Assets,property plant and equipment outstanding
PPE Fixed Assets,property plant equipment balance
PPE Fixed Assets,goodwill
PPE Fixed Assets,fixed assets standalone
PPE Fixed Assets,PPE Fixed Assets property plant & equipment for the year
PPE Fixed Assets,property plant & equipment net
PPE Fixed Assets,PPE Fixed Assets property plant equipment outstanding
PPE Fixed Assets,PPE Fixed Assets tangible assets gross
PPE Fixed Assets,property plant & equipment as at
PPE Fixed Assets,PPE Fixed Assets plant and machinery standalone
PPE Fixed Assets,PPE Fixed Assets property plant & equipment outstanding
PPE Fixed Assets,PPE Fixed Assets property plant & equipment
PPE Fixed Assets,PPE Fixed Assets property plant equipment refer note
PPE Fixed Assets,PPE Fixed Assets intangible assets
PPE Fixed Assets,property plant equipment standalone
PPE Fixed Assets,tangible assets amount
PPE Fixed Assets,PPE Fixed Assets tangible assets consolidated
PPE Fixed Assets,PPE Fixed Assets property plant equipment schedule
PPE Fixed Assets,PPE Fixed Assets tangible assets amount
PPE Fixed Assets,PPE Fixed Assets property plant and equipment ind as
PPE Fixed Assets,plant and machinery net
PPE Fixed Assets,property plant & equipment ind as
PPE Fixed Assets,property plant equipment schedule
PPE Fixed Assets,software
PPE Fixed Assets,PPE Fixed Assets property plant & equipment as at
PPE Fixed Assets,property plant & equipment outstanding
PPE Fixed Assets,PPE Fixed Assets brands trademarks
PPE Fixed Assets,PPE Fixed Assets property plant & equipment consolidated
PPE Fixed Assets,office equipment
PPE Fixed Assets,PPE Fixed Assets property plant & equipment amount
PPE Fixed Assets,property plant and equipment as at
PPE Fixed Assets,property plant equipment march
PPE Fixed Assets,PPE Fixed Assets tangible assets
PPE Fixed Assets,PPE Fixed Assets fixed assets schedule
PPE Fixed Assets,right of use assets
PPE Fixed Assets,right-of-use assets
PPE Fixed Assets,PPE Fixed Assets fixed assets refer note
PPE Fixed Assets,tangible assets as at
PPE Fixed Assets,PPE Fixed Assets tangible assets outstanding
PPE Fixed Assets,plant and machinery standalone
PPE Fixed Assets,property plant equipment as at
PPE Fixed Assets,PPE Fixed Assets land and building
PPE Fixed Assets,property plant and equipment per note
PPE Fixed Assets,fixed assets as at
PPE Fixed Assets,plant and machinery march
PPE Fixed Assets,vehicles
PPE Fixed Assets,PPE Fixed Assets property plant & equipment per note
PPE Fixed Assets,PPE Fixed Assets tangible assets ind as
PPE Fixed Assets,PPE Fixed Assets fixed assets gross
PPE Fixed Assets,property plant and equipment balance
PPE Fixed Assets,PPE Fixed Assets computer equipment
PPE Fixed Assets,PPE Fixed Assets plant and machinery net
PPE Fixed Assets,PPE Fixed Assets plant and machinery as at
PPE Fixed Assets,PPE Fixed Assets goodwill
PPE Fixed Assets,PPE Fixed Assets tangible assets per note
PPE Fixed Assets,PPE Fixed Assets fixed assets standalone
PPE Fixed Assets,rou assets
PPE Fixed Assets,property plant and equipment total
PPE Fixed Assets,tangible assets
PPE Fixed Assets,PPE Fixed Assets fixed assets total
PPE Fixed Assets,PPE Fixed Assets tangible assets net
PPE Fixed Assets,fixed assets outstanding
PPE Fixed Assets,tangible assets schedule
PPE Fixed Assets,property plant and equipment amount
PPE Fixed Assets,PPE Fixed Assets property plant equipment consolidated
PPE Fixed Assets,fixed assets ind as
PPE Fixed Assets,PPE Fixed Assets property plant and equipment balance
PPE Fixed Assets,PPE Fixed Assets property plant equipment
PPE Fixed Assets,property plant equipment consolidated
PPE Fixed Assets,property plant equipment total
PPE Fixed Assets,property plant equipment refer note
Investments Non Current,investment in joint ventures outstanding
Investments Non Current,Investments Non Current equity investments net
Investments Non Current,non-current investments ind as
Investments Non Current,investment in joint ventures gross
Investments Non Current,investment in associates for the year
Investments Non Current,investment in subsidiaries per note
Investments Non Current,investment in subsidiaries gross
Investments Non Current,Investments Non Current investment in subsidiaries refer note
Investments Non Current,investment in subsidiaries refer note
Investments Non Current,Investments Non Current investment in associates refer note
Investments Non Current,Investments Non Current investment in joint ventures refer note
Investments Non Current,Investments Non Current investment in associates standalone
Investments Non Current,non current investments
Investments Non Current,Investments Non Current non-current investments standalone
Investments Non Current,Investments Non Current investment in associates consolidated
Investments Non Current,long term investments schedule
Investments Non Current,Investments Non Current investment in subsidiaries outstanding
Investments Non Current,non current investments standalone
Investments Non Current,Investments Non Current investments non current
Investments Non Current,Investments Non Current non current investments consolidated
Investments Non Current,long term investments march
Investments Non Current,Investments Non Current non current investments outstanding
Investments Non Current,investment in associates gross
Investments Non Current,Investments Non Current investment in joint ventures amount
Investments Non Current,investment in joint ventures standalone
Investments Non Current,non current investments net
Investments Non Current,Investments Non Current non-current investments as at
Investments Non Current,Investments Non Current investment in joint ventures for the year
Investments Non Current,Investments Non Current non current investments refer note
Investments Non Current,Investments Non Current investment in joint ventures standalone
Investments Non Current,equity investments net
Investments Non Current,non-current investments standalone
Investments Non Current,Investments Non Current investment in associates as at
Investments Non Current,long term investments outstanding
Investments Non Current,investment in joint ventures refer note
Investments Non Current,non current investments ind as
Investments Non Current,Investments Non Current investment in associates amount
Investments Non Current,Investments Non Current long term investments amount
Investments Non Current,investment in associates schedule
Investments Non Current,investment in subsidiaries as at
Investments Non Current,Investments Non Current non current investments as at
Investments Non Current,investment in subsidiaries amount
Investments Non Current,long term investments balance
Investments Non Current,Investments Non Current investment in associates net
Investments Non Current,Investments Non Current non-current investments
Investments Non Current,long term investments per note
Investments Non Current,investment in joint ventures march
Investments Non Current,Investments Non Current investment in joint ventures per note
Investments Non Current,long term investments amount
Investments Non Current,Investments Non Current investment in subsidiaries amount
Investments Non Current,non-current investments gross
Investments Non Current,Investments Non Current investment in subsidiaries per note
Investments Non Current,investment in associates net
Investments Non Current,Investments Non Current investment in associates ind as
Investments Non Current,Investments Non Current non-current investments for the year
Investments Non Current,Investments Non Current investment in joint ventures ind as
Investments Non Current,Investments Non Current non-current investments schedule
Investments Non Current,investment in associates amount
Investments Non Current,Investments Non Current investment in subsidiaries total
Investments Non Current,Investments Non Current investment in associates per note
Investments Non Current,Investments Non Current non current investments schedule
Investments Non Current,non current investments consolidated
Investments Non Current,Investments Non Current non-current investments refer note
Investments Non Current,investment in joint ventures balance
Investments Non Current,Investments Non Current non current investments amount
Investments Non Current,investment in associates total
Investments Non Current,non-current investments total
Investments Non Current,Investments Non Current investment in associates total
Investments Non Current,investment in associates standalone
Investments Non Current,investment in subsidiaries for the year
Investments Non Current,Investments Non Current investment in subsidiaries as at
Investments Non Current,investment in subsidiaries total
Investments Non Current,investment in subsidiaries ind as
Investments Non Current,Investments Non Current non current investments ind as
Investments Non Current,investment in joint ventures total
Investments Non Current,Investments Non Current long term investments per note
Investments Non Current,investment in associates consolidated
Investments Non Current,investment in joint ventures per note
Investments Non Current,long term investments ind as
Investments Non Current,non-current investments refer note
Investments Non Current,Investments Non Current investment in joint ventures as at
Investments Non Current,long term investments for the year
Investments Non Current,long term investments standalone
Investments Non Current,investment in subsidiaries consolidated
Investments Non Current,Investments Non Current investment in subsidiaries
Investments Non Current,non current investments schedule
Investments Non Current,Investments Non Current investment in subsidiaries for the year
Investments Non Current,non current investments per note
Investments Non Current,non-current investments as at
Investments Non Current,non-current investments per note
Investments Non Current,investment in subsidiaries net
Investments Non Current,Investments Non Current investment in subsidiaries gross
Investments Non Current,Investments Non Current investment in joint ventures
Investments Non Current,Investments Non Current investment in joint ventures outstanding
Investments Non Current,Investments Non Current investment in subsidiaries consolidated
Investments Non Current,Investments Non Current long term investments as at
Investments Non Current,Investments Non Current investment in joint ventures march
Investments Non Current,Investments Non Current investment in joint ventures consolidated
Investments Non Current,non current investments as at
Investments Non Current,non-current investments consolidated
Investments Non Current,investment in associates balance
Investments Non Current,investment in joint ventures for the year
Investments Non Current,Investments Non Current investment in subsidiaries schedule
Investments Non Current,long term investments as at
Investments Non Current,investment in joint ventures ind as
Investments Non Current,Investments Non Current non current investments standalone
Investments Non Current,Investments Non Current non-current investments consolidated
Investments Non Current,Investments Non Current investment in subsidiaries ind as
Investments Non Current,long-term investment
Investments Non Current,non-current investments schedule
Investments Non Current,Investments Non Current long-term investment
Investments Non Current,Investments Non Current long term investments standalone
Investments Non Current,Investments Non Current long term investments refer note
Investments Non Current,investment in joint ventures consolidated
Investments Non Current,long term investments consolidated
Investments Non Current,investments non current
Investments Non Current,non-current investments for the year
Investments Non Current,Investments Non Current investment in joint ventures schedule
Investments Non Current,Investments Non Current non-current investments net
Investments Non Current,Investments Non Current investment in subsidiaries standalone
Investments Non Current,Investments Non Current non current investments net
Investments Non Current,Investments Non Current investment in associates
Investments Non Current,non current investments total
Investments Non Current,non current investments balance
Investments Non Current,Investments Non Current long term investments gross
Investments Non Current,investment in subsidiaries outstanding
Investments Non Current,Investments Non Current non-current investments balance
Investments Non Current,Investments Non Current non current investments per note
Investments Non Current,Investments Non Current investment in joint ventures net
Investments Non Current,Investments Non Current long term investments march
Investments Non Current,investment in joint ventures net
Investments Non Current,Investments Non Current investment in joint ventures total
Investments Non Current,Investments Non Current investment in subsidiaries net
Investments Non Current,Investments Non Current non-current investments ind as
Investments Non Current,Investments Non Current investment in associates march
Investments Non Current,Investments Non Current long term investments ind as
Investments Non Current,investment in joint ventures as at
Investments Non Current,investment in joint ventures amount
Investments Non Current,Investments Non Current non current investments
Investments Non Current,long term investments gross
Investments Non Current,non current investments march
Investments Non Current,investment in associates outstanding
Investments Non Current,investment in subsidiaries balance
Investments Non Current,Investments Non Current long term investments total
Investments Non Current,Investments Non Current investment in subsidiaries balance
Investments Non Current,Investments Non Current non current investments for the year
Investments Non Current,Investments Non Current investment in joint ventures balance
Investments Non Current,non-current investments march
Investments Non Current,non current investments outstanding
Investments Non Current,Investments Non Current non current investments total
Investments Non Current,Investments Non Current long term investments for the year
Investments Non Current,Investments Non Current long term investments
Investments Non Current,Investments Non Current non-current investments per note
Investments Non Current,long term investments refer note
Investments Non Current,non current investments for the year
Investments Non Current,Investments Non Current investment in joint ventures gross
Investments Non Current,Investments Non Current investment in associates gross
Investments Non Current,Investments Non Current non current investments balance
Investments Non Current,non current investments amount
Investments Non Current,long term investments net
Investments Non Current,Investments Non Current non-current investments gross
Investments Non Current,investment in subsidiaries
Investments Non Current,Investments Non Current long term investments net
Investments Non Current,investment in subsidiaries standalone
Investments Non Current,Investments Non Current long term investments consolidated
Investments Non Current,investment in associates as at
Investments Non Current,non current investments refer note
Investments Non Current,investment in joint ventures
Investments Non Current,non-current investments
Investments Non Current,Investments Non Current non current investments gross
Investments Non Current,investment in associates ind as
Investments Non Current,long term investments total
Investments Non Current,Investments Non Current investment in subsidiaries march
Investments Non Current,non-current investments outstanding
Investments Non Current,investment in associates
Investments Non Current,long term investments
Investments Non Current,Investments Non Current long term investments balance
Investments Non Current,Investments Non Current investment in associates balance
Investments Non Current,Investments Non Current investment in associates outstanding
Investments Non Current,Investments Non Current non-current investments amount
Investments Non Current,non-current investments balance
Investments Non Current,non-current investments net
Investments Non Current,Investments Non Current equity investments
Investments Non Current,Investments Non Current non-current investments march
Investments Non Current,Investments Non Current non current investments march
Investments Non Current,investment in associates per note
Investments Non Current,Investments Non Current long term investments outstanding
Investments Non Current,Investments Non Current investment in associates for the year
Investments Non Current,Investments Non Current non-current investments outstanding
Investments Non Current,Investments Non Current investment in associates schedule
Investments Non Current,non current investments gross
Investments Non Current,investment in associates refer note
Investments Non Current,investment in joint ventures schedule
Investments Non Current,investment in subsidiaries march
Investments Non Current,equity investments
Investments Non Current,investment in associates march
Investments Non Current,Investments Non Current non-current investments total
Investments Non Current,Investments Non Current long term investments schedule
Investments Non Current,non-current investments amount
Investments Non Current,investment in subsidiaries schedule
Loans Non Current,loans non current for the year
Loans Non Current,Loans Non Current security deposits
Loans Non Current,non current loans as at
Loans Non Current,Loans Non Current long-term loans and advances schedule
Loans Non Current,Loans Non Current loans and advances non current net
Loans Non Current,loans non current net
Loans Non Current,loans and advances non current as at
Loans Non Current,Loans Non Current long term loans and advances standalone
Loans Non Current,long-term loans and advances net
Loans Non Current,Loans Non Current loans non current net
Loans Non Current,security deposits outstanding
Loans Non Current,deposits with government net
Loans Non Current,Loans Non Current deposits with government gross
Loans Non Current,Loans Non Current long-term loans and advances per note
Loans Non Current,Loans Non Current loans non current outstanding
Loans Non Current,long term loans and advances amount
Loans Non Current,Loans Non Current long-term loans and advances ind as
Loans Non Current,security deposits march
Loans Non Current,long-term loans and advances per note
Loans Non Current,Loans Non Current loans and advances non current as at
Loans Non Current,deposits with government gross
Loans Non Current,Loans Non Current deposits with government
Loans Non Current,non current loans march
Loans Non Current,loans and advances non current amount
Loans Non Current,long-term loans and advances ind as
Loans Non Current,Loans Non Current long term loans and advances as at
Loans Non Current,Loans Non Current long-term loans and advances gross
Loans Non Current,long-term loans and advances for the year
Loans Non Current,Loans Non Current non current loans total
Loans Non Current,non current loans outstanding
Loans Non Current,security deposits gross
Loans Non Current,Loans Non Current long-term loans and advances amount
Loans Non Current,Loans Non Current long term loans and advances total
Loans Non Current,Loans Non Current long-term loans and advances
Loans Non Current,Loans Non Current security deposits net
Loans Non Current,security deposits standalone
Loans Non Current,long term loans and advances schedule
Loans Non Current,Loans Non Current long-term loans and advances for the year
Loans Non Current,non current loans total
Loans Non Current,Loans Non Current non current loans amount
Loans Non Current,long term loans and advances consolidated
Loans Non Current,long term loans and advances refer note
Loans Non Current,Loans Non Current long term loans and advances consolidated
Loans Non Current,Loans Non Current long-term loans and advances net
Loans Non Current,long-term loans and advances as at
Loans Non Current,Loans Non Current loans and advances non current for the year
Loans Non Current,Loans Non Current long term loans and advances amount
Loans Non Current,Loans Non Current non current loans schedule
Loans Non Current,long term loans and advances march
Loans Non Current,Loans Non Current loans and advances non current gross
Loans Non Current,long term loans and advances gross
Loans Non Current,Loans Non Current long term loans and advances gross
Loans Non Current,Loans Non Current non current loans net
Loans Non Current,non current loans net
Loans Non Current,long-term loans and advances standalone
Loans Non Current,Loans Non Current non current loans march
Loans Non Current,Loans Non Current long term loans and advances refer note
Loans Non Current,Loans Non Current non current loans as at
Loans Non Current,Loans Non Current security deposits march
Loans Non Current,Loans Non Current security deposits ind as
Loans Non Current,loans and advances non current ind as
Loans Non Current,Loans Non Current loans and advances non current per note
Loans Non Current,Loans Non Current loans and advances non current outstanding
Loans Non Current,Loans Non Current security deposits gross
Loans Non Current,loans non current standalone
Loans Non Current,loans and advances non current schedule
Loans Non Current,loans non current outstanding
Loans Non Current,Loans Non Current long term loans and advances outstanding
Loans Non Current,long term loans and advances standalone
Loans Non Current,Loans Non Current loans non current gross
Loans Non Current,Loans Non Current security deposits standalone
Loans Non Current,Loans Non Current loans and advances non current schedule
Loans Non Current,Loans Non Current long term loans and advances march
Loans Non Current,long-term loans and advances schedule
Loans Non Current,Loans Non Current non current loans refer note
Loans Non Current,non current loans consolidated
Loans Non Current,non current loans refer note
Loans Non Current,Loans Non Current non current loans gross
Loans Non Current,non current loans standalone
Loans Non Current,loans and advances non current for the year
Loans Non Current,loans and advances non current per note
Loans Non Current,security deposits net
Loans Non Current,loans non current per note
Loans Non Current,Loans Non Current security deposits per note
Loans Non Current,security deposits per note
Loans Non Current,non current loans schedule
Loans Non Current,long term loans and advances
Loans Non Current,long-term loans and advances
Loans Non Current,long-term loans and advances march
Loans Non Current,Loans Non Current non current loans ind as
Loans Non Current,Loans Non Current loans and advances non current ind as
Loans Non Current,loans and advances non current standalone
Loans Non Current,Loans Non Current loans non current schedule
Loans Non Current,Loans Non Current long term loans and advances per note
Loans Non Current,long term loans and advances total
Loans Non Current,Loans Non Current long term loans and advances balance
Loans Non Current,long-term loans and advances consolidated
Loans Non Current,Loans Non Current deposits with government total
Loans Non Current,long term loans and advances net
Loans Non Current,Loans Non Current security deposits outstanding
Loans Non Current,non current loans ind as
Loans Non Current,loans non current refer note
Loans Non Current,security deposits refer note
Loans Non Current,Loans Non Current non current loans for the year
Loans Non Current,security deposits total
Loans Non Current,security deposits amount
Loans Non Current,loans and advances non current net
Loans Non Current,long term loans and advances balance
Loans Non Current,Loans Non Current long term loans and advances
Loans Non Current,Loans Non Current loans non current refer note
Loans Non Current,Loans Non Current loans non current balance
Loans Non Current,non current loans for the year
Loans Non Current,Loans Non Current non current loans outstanding
Loans Non Current,Loans Non Current loans and advances non current standalone
Loans Non Current,Loans Non Current non current loans balance
Loans Non Current,Loans Non Current long-term loans and advances refer note
Loans Non Current,loans and advances non current consolidated
Loans Non Current,loans non current schedule
Loans Non Current,Loans Non Current long-term loans and advances consolidated
Loans Non Current,security deposits as at
Loans Non Current,loans non current gross
Loans Non Current,long-term loans and advances amount
Loans Non Current,loans and advances non current gross
